IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
10.100.0.5,,10252,tcp,0.0,Log,"","CGI Scanning Consolidation","The Hostname/IP ""10.100.0.5"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for CGI scanning:

http://10.100.0.5:10252/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards


","The Hostname/IP ""10.100.0.5"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for CGI scanning:

http://10.100.0.5:10252/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards


",1.3.6.1.4.1.25623.1.0.111038,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,bdb0e0fe-14b7-4430-a637-d2a7d02fa568,"","","","","
Details:
CGI Scanning Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.111038)
","","","",""
10.100.0.5,,,,0.0,Log,"","CPE-based Policy Check Error","The following invalid lines where identified within the uploaded/provided CPEs:

fbf22e71-c7d3-48e4-8a03-f488d2b3794a

","The following invalid lines where identified within the uploaded/provided CPEs:

fbf22e71-c7d3-48e4-8a03-f488d2b3794a

",1.3.6.1.4.1.25623.1.0.108291,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,50f08425-0e93-47ea-a5f0-67d7473ef476,"","","","","
Details:
CPE-based Policy Check Error
(OID: 1.3.6.1.4.1.25623.1.0.108291)
","","","",""
10.100.0.5,,,,0.0,Log,"","CPE Inventory","10.100.0.5|cpe:/a:openbsd:openssh:7.6p1
10.100.0.5|cpe:/o:canonical:ubuntu_linux:18.04

","10.100.0.5|cpe:/a:openbsd:openssh:7.6p1
10.100.0.5|cpe:/o:canonical:ubuntu_linux:18.04

",1.3.6.1.4.1.25623.1.0.810002,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,162ea05f-8e43-4331-a557-74b931df4ecc,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
","","","",""
10.100.0.5,,,,0.0,Log,"","Hostname Determination Reporting","Hostname determination for IP 10.100.0.5:

Hostname|Source
10.100.0.5|IP-address
","Hostname determination for IP 10.100.0.5:

Hostname|Source
10.100.0.5|IP-address
",1.3.6.1.4.1.25623.1.0.108449,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,3189411b-94f3-476c-8c0c-70509d2ea1f5,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
","","","",""
10.100.0.5,,,,0.0,Log,"","ICMP Timestamp Detection","","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,87436528-2a4e-4fda-b67c-cefe75958f12,"","","","","
Details:
ICMP Timestamp Detection
(OID: 1.3.6.1.4.1.25623.1.0.103190)
","","","",""
10.100.0.5,,,,0.0,Log,"","OpenSSH Detection Consolidation","Detected OpenSSH Server

Version:       7.6p1
Location:      22/tcp
CPE:           cpe:/a:openbsd:openssh:7.6p1

Concluded from version/product identification result:
SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.3
","Detected OpenSSH Server

Version:       7.6p1
Location:      22/tcp
CPE:           cpe:/a:openbsd:openssh:7.6p1

Concluded from version/product identification result:
SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.3
",1.3.6.1.4.1.25623.1.0.108577,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,8f429e96-ec4a-4c98-8bbe-8623bc1ca97a,"","","","","
Details:
OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","","",""
10.100.0.5,,,,0.0,Log,"","OS Detection Consolidation and Reporting","Best matching OS:

OS:           Ubuntu
Version:      18.04
CPE:          cpe:/o:canonical:ubuntu_linux:18.04
Found by NVT: 1.3.6.1.4.1.25623.1.0.105586 (SSH OS Identification)
Concluded from SSH banner on port 22/tcp: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.3
Setting key ""Host/runs_unixoide"" based on this information
","Best matching OS:

OS:           Ubuntu
Version:      18.04
CPE:          cpe:/o:canonical:ubuntu_linux:18.04
Found by NVT: 1.3.6.1.4.1.25623.1.0.105586 (SSH OS Identification)
Concluded from SSH banner on port 22/tcp: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.3
Setting key ""Host/runs_unixoide"" based on this information
",1.3.6.1.4.1.25623.1.0.105937,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,223baa56-d76d-4700-a560-927cd7e3fea4,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
","","","",""
10.100.0.5,,10252,tcp,0.0,Log,"","Services","A web server is running on this port
","A web server is running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,74180acf-2f3d-4239-9ada-b03e72d02e12,"","","","","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
","","","",""
10.100.0.5,,22,tcp,0.0,Log,"","Services","An ssh server is running on this port
","An ssh server is running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,62ae1ad9-181b-4a02-8422-f919bb8c5de7,"","","","","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
","","","",""
10.100.0.5,,161,udp,0.0,Log,"","SNMP Login Failed For Authenticated Checks","","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.108541,"",6571f551-e0bb-4126-846c-75e9d3ac9565,"target_10-100-0-5",2020-01-28T15:57:40Z,dbae537b-e91d-4a44-81dc-281969535869,"","Recheck the SNMPv1/SNMPv2 community string or SNMPv3 credentials
  as well as the output of the VT 'A SNMP Agent is running' (OID: 1.3.6.1.4.1.25623.1.0.10265).","","","
Details:
SNMP Login Failed For Authenticated Checks
(OID: 1.3.6.1.4.1.25623.1.0.108541)
","","","",""
