IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
10.100.0.10,,8443,tcp,0.0,Log,"","CGI Scanning Consolidation","The Hostname/IP ""10.100.0.10"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

A possible recursion was detected during CGI scanning:

The service is using a relative URL in one or more HTML references where e.g. /file1.html contains <a href=""subdir/file2.html""> and a subsequent request for subdir/file2.html is linking to subdir/file2.html. This would resolves to subdir/subdir/file2.html causing a recursion. To work around this counter-measures have been enabled but the service should be fixed as well to not use such problematic links. Below an excerpt of URLs is shown to help identify those issues.

Syntax : URL (HTML link)

https://10.100.0.10:8443/manage/account/login (config/config.v5.12.35.0.js)
https://10.100.0.10:8443/manage/account/login (css/app.v5.12.35.0.css)
https://10.100.0.10:8443/manage/account/login (css/styles.bundle.v5.12.35.0.css)
https://10.100.0.10:8443/manage/account/login (fonts/5.12.35.0/aura/fonts.css)
https://10.100.0.10:8443/manage/account/login (fonts/5.12.35.0/ubnt-icon/style.css)

The following directories were used for CGI scanning:

https://10.100.0.10:8443/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards

The following directories were excluded from CGI scanning because the ""Regex pattern to exclude directories from CGI scanning"" setting of the NVT ""Global variable settings"" (OID: 1.3.6.1.4.1.25623.1.0.12288) for this scan was: ""/(index\.php|image|img|css|js$|js/|javascript|style|theme|icon|jquery|graphic|grafik|picture|bilder|thumbnail|media/|skins?/)""

https://10.100.0.10:8443/manage/account/css
https://10.100.0.10:8443/manage/account/images/favicons
https://10.100.0.10:8443/manage/account/js

The following CGIs were discovered:

Syntax : cginame (arguments [default value])

https://10.100.0.10:8443/manage/account/images/favicons/favicon-120.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-144.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-152.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-32.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-57.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-72.png (v [2] )
https://10.100.0.10:8443/manage/account/login (redirect [%2Fmanage] )


","The Hostname/IP ""10.100.0.10"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

A possible recursion was detected during CGI scanning:

The service is using a relative URL in one or more HTML references where e.g. /file1.html contains <a href=""subdir/file2.html""> and a subsequent request for subdir/file2.html is linking to subdir/file2.html. This would resolves to subdir/subdir/file2.html causing a recursion. To work around this counter-measures have been enabled but the service should be fixed as well to not use such problematic links. Below an excerpt of URLs is shown to help identify those issues.

Syntax : URL (HTML link)

https://10.100.0.10:8443/manage/account/login (config/config.v5.12.35.0.js)
https://10.100.0.10:8443/manage/account/login (css/app.v5.12.35.0.css)
https://10.100.0.10:8443/manage/account/login (css/styles.bundle.v5.12.35.0.css)
https://10.100.0.10:8443/manage/account/login (fonts/5.12.35.0/aura/fonts.css)
https://10.100.0.10:8443/manage/account/login (fonts/5.12.35.0/ubnt-icon/style.css)

The following directories were used for CGI scanning:

https://10.100.0.10:8443/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards

The following directories were excluded from CGI scanning because the ""Regex pattern to exclude directories from CGI scanning"" setting of the NVT ""Global variable settings"" (OID: 1.3.6.1.4.1.25623.1.0.12288) for this scan was: ""/(index\.php|image|img|css|js$|js/|javascript|style|theme|icon|jquery|graphic|grafik|picture|bilder|thumbnail|media/|skins?/)""

https://10.100.0.10:8443/manage/account/css
https://10.100.0.10:8443/manage/account/images/favicons
https://10.100.0.10:8443/manage/account/js

The following CGIs were discovered:

Syntax : cginame (arguments [default value])

https://10.100.0.10:8443/manage/account/images/favicons/favicon-120.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-144.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-152.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-32.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-57.png (v [2] )
https://10.100.0.10:8443/manage/account/images/favicons/favicon-72.png (v [2] )
https://10.100.0.10:8443/manage/account/login (redirect [%2Fmanage] )


",1.3.6.1.4.1.25623.1.0.111038,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,c0c377cf-6d05-422d-8f5f-5fa06ef6a5ed,"","","","","
Details:
CGI Scanning Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.111038)
","","","",""
10.100.0.10,,8080,tcp,0.0,Log,"","CGI Scanning Consolidation","The Hostname/IP ""10.100.0.10"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for CGI scanning:

http://10.100.0.10:8080/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards


","The Hostname/IP ""10.100.0.10"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for CGI scanning:

http://10.100.0.10:8080/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards


",1.3.6.1.4.1.25623.1.0.111038,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,b643a78c-777a-477e-bfdb-65913ad28d7c,"","","","","
Details:
CGI Scanning Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.111038)
","","","",""
10.100.0.10,,8880,tcp,0.0,Log,"","CGI Scanning Consolidation","The Hostname/IP ""10.100.0.10"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for CGI scanning:

http://10.100.0.10:8880/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards


","The Hostname/IP ""10.100.0.10"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT 11.0.0)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for CGI scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for CGI scanning:

http://10.100.0.10:8880/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards


",1.3.6.1.4.1.25623.1.0.111038,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,bedcad57-79e3-40e5-8fcb-6d2d6d1f8365,"","","","","
Details:
CGI Scanning Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.111038)
","","","",""
10.100.0.10,,,,0.0,Log,"","CPE-based Policy Check Error","The following invalid lines where identified within the uploaded/provided CPEs:

bb34c6d5-11e4-4d97-8b4c-6ec9ae5d4e55

","The following invalid lines where identified within the uploaded/provided CPEs:

bb34c6d5-11e4-4d97-8b4c-6ec9ae5d4e55

",1.3.6.1.4.1.25623.1.0.108291,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,badaae92-af3b-4f35-9b7d-64f9e66c7920,"","","","","
Details:
CPE-based Policy Check Error
(OID: 1.3.6.1.4.1.25623.1.0.108291)
","","","",""
10.100.0.10,,,,0.0,Log,"","CPE-based Policy Check Error","The following invalid lines where identified within the uploaded/provided CPEs:

bb34c6d5-11e4-4d97-8b4c-6ec9ae5d4e55

","The following invalid lines where identified within the uploaded/provided CPEs:

bb34c6d5-11e4-4d97-8b4c-6ec9ae5d4e55

",1.3.6.1.4.1.25623.1.0.108291,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,516fb7fd-18ef-4aba-acb5-c7b5506b91b4,"","","","","
Details:
CPE-based Policy Check Error
(OID: 1.3.6.1.4.1.25623.1.0.108291)
","","","",""
10.100.0.10,,,,0.0,Log,"","CPE Inventory","10.100.0.10|cpe:/a:openbsd:openssh:7.6p1
10.100.0.10|cpe:/o:canonical:ubuntu_linux:18.04

","10.100.0.10|cpe:/a:openbsd:openssh:7.6p1
10.100.0.10|cpe:/o:canonical:ubuntu_linux:18.04

",1.3.6.1.4.1.25623.1.0.810002,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,e2554111-4ddc-4af4-a751-1feff4c8ef8a,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
","","","",""
10.100.0.10,,,,0.0,Log,"","CPE Inventory","10.100.0.10|cpe:/a:openbsd:openssh:7.6p1
10.100.0.10|cpe:/o:canonical:ubuntu_linux:18.04

","10.100.0.10|cpe:/a:openbsd:openssh:7.6p1
10.100.0.10|cpe:/o:canonical:ubuntu_linux:18.04

",1.3.6.1.4.1.25623.1.0.810002,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,8cb804ef-dfd5-4fb2-bf03-519f8dbdef0a,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
","","","",""
10.100.0.10,,,,0.0,Log,"","Hostname Determination Reporting","Hostname determination for IP 10.100.0.10:

Hostname|Source
10.100.0.10|IP-address
","Hostname determination for IP 10.100.0.10:

Hostname|Source
10.100.0.10|IP-address
",1.3.6.1.4.1.25623.1.0.108449,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,c602feb9-dd6e-43d3-a566-d2bd9233573e,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
","","","",""
10.100.0.10,,,,0.0,Log,"","Hostname Determination Reporting","Hostname determination for IP 10.100.0.10:

Hostname|Source
10.100.0.10|IP-address
","Hostname determination for IP 10.100.0.10:

Hostname|Source
10.100.0.10|IP-address
",1.3.6.1.4.1.25623.1.0.108449,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,35ac8a30-c1ec-4fa7-bccf-c202f8df1026,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
","","","",""
10.100.0.10,,8080,tcp,0.0,Log,"","HTTP Security Headers Detection","Missing Headers                   
---------------                   
Content-Security-Policy           
Referrer-Policy                   
X-Content-Type-Options            
X-Frame-Options                   
X-Permitted-Cross-Domain-Policies 
X-XSS-Protection                  

","Missing Headers                   
---------------                   
Content-Security-Policy           
Referrer-Policy                   
X-Content-Type-Options            
X-Frame-Options                   
X-Permitted-Cross-Domain-Policies 
X-XSS-Protection                  

",1.3.6.1.4.1.25623.1.0.112081,"",0e26a328-88dc-4988-83f9-bb919819ea2e,"target_10-100-0-10",2020-01-28T15:57:34Z,f2137175-5d58-4403-8814-bb1193b8bdca,"","","","","
Details:
HTTP Security Headers Detection
(OID: 1.3.6.1.4.1.25623.1.0.112081)
","","","",""
